text,env_problems,pollution,treatment,climate,biomonitoring
In the Southern Bug basin wastewater is discharged from 341 organized sources (Map 5). In 2011 (reference year) 211 mln. m3 was discharged in total.,1,1,,,
This amount is distributed as follows: urban and rural housing wastewater treatment facilities (WWTPs - vodocanals) – 70 mln. m3 (57 users) industry – 50 mln. m3 (79 users) agriculture – 90 mln. m3 (193 users) other users – 1 mln. m3 (12 users) (Picture. 2.1). ,1,1,,,
Despite the similar volumes of discharged wastewater major part of pollutants comes with communal WWTPs.,1,1,,,
They bring 84% of organic pollution 86% of phosphate ions and 84% of mineral nitrogen 91% of ammonia nitrogen 87% nitrate nitrogen and 79% nitrite nitrogen.,1,1,,,
The input of the industry is between 7–21% and agriculture has the lowest impact on water bodies - 0–6%. Of the 92 urban areas only 51 localities (55%) have centralized collection of communal waste waters and their monitoring. Among the 2878 villages 6 of them (0.2%) have such a monitoring.,1,1,,,
Settlements that do not have sewage systems usually do not have central water supply Vodocanals of the Departments of Housing most of which are in communal ownership collect wastewater from users to treat them at communal WWTPs and then discharge back into the receiving surface waters such as Southern Bug and its tributaries of the 1st and 2nd orders.,1,,1,,
Equipment of WWTPs is very worn-out the amount of wastewater often exceeds their treatment capacity and the waters can enter the receiving waters without proper treatment.,1,,1,,
The current state of sewage networks is a source of concern since about 24% of them due to financial difficulties were not repaired.,1,,1,,
Consequently in Ukraine on average 2 accidents occur at 1 km network per year which is much higher than the corresponding figure in the EU and it contributes to further pollution of surface waters. These discharges are not monitored.,1,1,,,
The degree of connectivity of the population to WWTPs varies widely - from 11% to 95%. The maximum rate is observed in Pivdennoukrainsk.,1,,1,,
In large cities with EH close or greater than 100000 EH connection to sewers ranges 85-92 80% in towns usually no more than 30% in rural settlements. Due to lack of data no accurate estimates can be given.,1,,1,,
Based on expert judgment taking that average degree of connectivity of the urban population to WWTPs is approximately 80%. The total load of inorganic compounds of nitrogen produced in 2011 at wastewater facilities with >2000 was more than 488 tons and their spatial distribution ,1,1,1,,
The obtained results show that the main part (77%) of inorganic nitrogen comes to waste waters from three the biggest oblast centers – Vinnistya Khmelnitsky and Kirogovrad.,1,1,,,
The majority of the wastewater treatment facilities in the Southern Bug basin are equipped with the facilities for biological treatment of wastewaters.,1,,1,,
This method allows extracting only a part of pollutants containing nitrogen and phosphorus.,1,1,1,,
Technologies of deep extraction of these compounds are not used in Ukraine due to their high cost.,1,,1,,
The existing wastewater treatment facilities were constructed during the Soviet time they are physically and technologically outdated they work inefficiently.,1,1,1,,
Very often the volumes of wastewater exceed designed values which lead to additional pollution.,1,1,1,,
Most of wastewater treatment facilities require urgent modernization and reconstruction.,1,1,1,,
According to the obtained data wastewater facilities with the lowest efficiency regarding Ninorg treatment are in Vatutino Tulchin Bashtanka Smoline settlements.,1,1,1,,
Wastewater facilities of the large cities ( > 100000) namely Kirovograd Vinnistya Khmelnitsky also work ineffectively and lead to increased contains of nitrogen in the surface waters.,1,1,1,,
